Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition
32,4945,7.0,3,Yes,Yes
51,4476,4.8,2,No,No
36,3971,7.2,1,Yes,No
44,8033,7.9,4,No,No
39,2975,6.2,2,No,Yes
48,5587,0.8,2,No,Yes
34,8711,1.4,4,No,No
24,4922,0.7,2,Yes,Yes
32,4744,0.6,2,No,No
45,4494,0.5,4,Yes,No
45,6838,12.7,4,No,No
59,9611,22.3,4,No,No
30,4785,0.8,2,No,Yes
37,7415,3.6,3,No,No
57,11907,0.6,4,No,No
25,7111,8.1,1,No,No
48,4844,2.9,2,Yes,Yes
58,10420,0.3,3,No,No
56,11071,0.6,4,Yes,No
47,9515,6.9,1,Yes,Yes
55,5389,3.7,2,Yes,Yes
28,7105,9.6,2,No,No
50,5350,0.3,3,No,No
47,11243,2.1,4,No,No
40,2305,12.4,2,No,Yes
59,10767,3.6,4,No,No
53,4762,8.6,4,No,No
29,3638,7.3,2,No,Yes
59,10429,0.5,3,No,No
54,9961,0.1,4,Yes,No
35,2593,7.1,3,No,Yes
48,5090,6.7,1,Yes,Yes
51,3122,2.1,1,Yes,Yes
29,9521,7.4,1,No,No
31,11059,7.7,2,No,No
28,5055,12.9,3,Yes,Yes
39,5688,3.0,4,Yes,Yes
58,2524,14.5,4,No,No
36,3185,3.4,4,No,Yes
34,2827,5.6,4,Yes,No
56,9297,3.9,4,Yes,No
38,4233,1.1,1,No,Yes
23,6768,1.0,2,Yes,No
46,4852,0.8,4,No,Yes
50,7293,2.7,2,Yes,Yes
38,7635,4.1,4,No,No
57,5599,3.5,4,No,No
21,4781,0.3,3,No,No
54,11099,1.1,4,No,No
31,11365,1.6,3,No,No
52,6779,1.9,3,No,Yes
39,6099,7.0,3,No,No
46,7279,5.6,3,No,No
50,7509,10.4,2,No,No
56,11584,6.2,3,No,No
44,6448,3.1,2,No,No
45,5565,2.4,1,No,No
37,11509,2.1,3,Yes,Yes
23,8557,2.5,3,No,No
28,3514,2.3,4,Yes,Yes
25,7561,5.5,4,No,Yes
51,10222,7.2,4,No,No
25,7734,6.3,2,No,Yes
28,4785,0.3,1,No,Yes
29,5756,17.6,4,Yes,No
49,9352,5.0,2,No,Yes
33,7654,2.0,4,Yes,No
40,2358,0.3,2,Yes,Yes
47,5346,5.9,4,No,No
42,9455,0.7,2,Yes,No
39,2802,2.6,2,Yes,Yes
35,6140,1.4,1,Yes,Yes
57,7670,1.1,4,No,No
28,5166,0.7,3,No,No
51,8923,9.8,4,No,No
27,2838,1.2,2,No,Yes
39,11363,0.8,3,Yes,No
46,9612,7.0,1,No,No
32,10786,1.3,2,No,No
31,7317,2.7,4,Yes,No
27,6762,1.7,2,No,Yes
21,5225,0.1,3,Yes,Yes
31,3185,13.6,3,Yes,No
28,7267,0.1,4,Yes,Yes
46,5236,1.7,2,Yes,Yes
56,10671,5.0,3,No,No
22,3807,4.4,3,No,No
48,2603,0.8,4,Yes,No
36,9927,3.6,4,No,No
43,11808,5.6,1,No,No
58,6432,1.6,2,No,No
36,10735,2.7,3,Yes,Yes
25,9243,13.5,1,No,No
52,9907,12.4,1,No,No
55,7977,0.4,4,No,No
31,7165,7.2,3,No,Yes
43,8371,1.4,4,Yes,No
45,10009,0.7,4,Yes,No
26,11513,14.7,3,Yes,No
21,10923,18.4,3,No,No
21,9385,4.4,4,No,No
46,11315,1.8,2,Yes,No
45,2463,1.3,2,Yes,Yes
58,2305,3.6,1,Yes,Yes
44,4694,1.0,1,Yes,Yes
48,2266,1.3,3,No,Yes
39,7687,23.5,1,No,No
23,4138,4.1,3,No,No
34,10796,1.6,4,Yes,Yes
44,3142,1.2,3,No,No
47,9774,15.7,2,No,No
33,2793,3.9,2,Yes,Yes
25,11399,1.5,2,Yes,No
56,5765,1.1,3,No,No
29,4930,0.8,2,No,Yes
21,5347,14.6,4,No,No
36,9109,22.5,3,Yes,No
21,10683,6.2,1,No,Yes
46,8761,0.5,1,Yes,Yes
24,3579,7.1,4,No,No
33,5864,4.2,3,Yes,No
34,6973,9.5,2,Yes,Yes
49,4874,1.1,4,No,No
55,11357,6.5,1,No,No
47,9130,1.4,4,No,No
43,9075,0.0,4,No,No
29,4633,2.8,4,No,Yes
46,7403,4.1,2,Yes,No
49,4479,5.8,4,Yes,No
22,5359,3.8,4,No,No
43,9810,7.5,2,No,No
27,4647,8.9,3,No,Yes
24,8889,5.6,1,Yes,Yes
35,4566,1.9,2,No,No
52,9974,5.0,4,Yes,No
45,3769,2.4,2,No,No
55,10861,7.6,4,No,No
50,2709,0.7,4,Yes,Yes
34,4291,11.1,4,Yes,Yes
43,8640,0.1,1,No,Yes
32,5721,0.4,3,No,No
31,3798,4.4,3,Yes,Yes
46,3672,1.5,4,No,Yes
